1tuh , A , 1 , 131 ,  14.345 ,  0.054 ,  14.866
1mby , A , 1 , 75 ,  11.489 ,  0.021 ,  17.554
1ovl , A , 1 , 226 ,  8.250 ,  0.049 ,  17.871
1wh8 , A , 1 , 111 ,  1.096 ,  0.025 ,  18.678
1kll , A , 1 , 125 ,  8.153 ,  0.039 ,  32.900
1kv7 , A , 3 , 463 ,  9.385 ,  0.059 ,  21.103
1edq , A , 3 , 540 ,  5.381 ,  0.036 ,  27.026
1nh2 , D , 2 , 105 ,  3.665 ,  0.026 ,  17.091
2hg7 , A , 1 , 60 ,  11.351 ,  0.048 ,  12.012
2oqm , A , 1 , 182 ,  7.440 ,  0.042 ,  17.927
1z6n , A , 1 , 166 ,  10.873 ,  0.058 ,  15.535
1am9 , A , 1 , 80 ,  4.138 ,  0.009 ,  27.005
1udx , A , 3 , 412 ,  3.665 ,  0.015 ,  32.730
1r8h , A , 1 , 90 ,  14.483 ,  0.050 ,  17.897
1rf8 , B , 1 , 100 ,  2.027 ,  0.021 ,  24.937
1ad3 , A , 2 , 446 ,  7.459 ,  0.038 ,  35.077
1set , A , 2 , 421 ,  8.223 ,  0.029 ,  28.621
2rh3 , A , 1 , 130 ,  15.152 ,  0.055 ,  14.944
1z3e , B , 1 , 67 ,  15.349 ,  0.064 ,  11.606
3c0d , A , 1 , 106 ,  13.873 ,  0.053 ,  15.387
1nxz , A , 2 , 242 ,  4.484 ,  0.036 ,  21.794
1iio , A , 1 , 84 ,  18.959 ,  0.061 ,  11.876
1cix , A , 1 , 44 ,  23.894 ,  0.049 ,  11.278
1a0i , A , 3 , 332 ,  4.965 ,  0.032 ,  24.146
1vj2 , A , 1 , 114 ,  13.671 ,  0.052 ,  14.113
1ae9 , A , 1 , 171 ,  15.411 ,  0.054 ,  16.478
1j2j , B , 1 , 41 ,  16.406 ,  0.040 ,  12.718
1ner , A , 1 , 74 ,  14.884 ,  0.049 ,  12.379
2csg , A , 1 , 434 ,  8.161 ,  0.054 ,  22.815
2ons , A , 2 , 318 ,  3.089 ,  0.052 ,  20.130
1y71 , A , 1 , 107 ,  12.188 ,  0.041 ,  15.410
1v9d , A , 2 , 308 ,  2.783 ,  0.011 ,  36.766
1h4r , A , 3 , 294 ,  2.914 ,  0.037 ,  22.150
1z5y , E , 1 , 141 ,  10.425 ,  0.062 ,  14.579
1fc6 , A , 3 , 382 ,  7.450 ,  0.041 ,  24.112
2bce , A , 1 , 532 ,  8.644 ,  0.054 ,  22.889
1smo , A , 1 , 113 ,  16.033 ,  0.052 ,  14.730
1u0j , A , 2 , 261 ,  7.621 ,  0.045 ,  19.943
2fck , A , 1 , 179 ,  7.829 ,  0.056 ,  16.513
1j0g , A , 1 , 92 ,  10.997 ,  0.049 ,  13.232
2ou6 , A , 1 , 185 ,  8.953 ,  0.045 ,  17.103
1u89 , A , 1 , 139 ,  9.231 ,  0.037 ,  17.291
1pfs , A , 1 , 78 ,  15.574 ,  0.039 ,  17.653
2dpm , A , 2 , 258 ,  4.474 ,  0.042 ,  20.331
1vyx , A , 1 , 60 ,  14.835 ,  0.055 ,  11.485
2gno , A , 3 , 300 ,  2.109 ,  0.032 ,  23.185
1ug7 , A , 1 , 128 ,  12.589 ,  0.049 ,  15.479
1aa7 , A , 2 , 158 ,  5.236 ,  0.060 ,  28.189
2d8d , A , 1 , 80 ,  13.514 ,  0.025 ,  16.424
2fi1 , A , 2 , 187 ,  3.506 ,  0.039 ,  18.846
2uub , N , 1 , 60 ,  11.176 ,  0.030 ,  28.669
1pg5 , B , 2 , 148 ,  4.396 ,  0.041 ,  21.479
1v54 , K , 1 , 49 ,  8.824 ,  0.007 ,  40.109
2inc , C , 1 , 83 ,  20.513 ,  0.063 ,  13.551
1i12 , A , 1 , 154 ,  9.476 ,  0.045 ,  18.858
1f97 , A , 2 , 207 ,  2.882 ,  0.017 ,  25.559
1ixm , A , 2 , 168 ,  6.891 ,  0.037 ,  19.189
1ho8 , A , 2 , 447 ,  3.750 ,  0.021 ,  30.655
2if1 , A , 1 , 126 ,  2.336 ,  0.019 ,  22.898
1gmx , A , 1 , 108 ,  14.362 ,  0.063 ,  13.055
1p5j , A , 2 , 319 ,  5.238 ,  0.057 ,  19.399
1u84 , A , 1 , 81 ,  19.084 ,  0.059 ,  12.099
2r6g , F , 4 , 490 ,  2.339 ,  0.014 ,  35.824
3ck2 , A , 1 , 171 ,  15.331 ,  0.062 ,  15.133
1ydg , A , 1 , 201 ,  12.701 ,  0.060 ,  17.285
1qvr , A , 5 , 803 ,  2.102 ,  0.018 ,  38.561
1vpu , A , 1 , 45 ,  24.031 ,  0.070 ,  31.418
1qtw , A , 1 , 285 ,  9.000 ,  0.056 ,  56.485
1wg6 , A , 1 , 127 ,  2.489 ,  0.025 ,  20.333
1yem , A , 1 , 163 ,  9.137 ,  0.046 ,  19.986
1xpn , A , 1 , 170 ,  8.156 ,  0.028 ,  23.836
1pu6 , A , 2 , 216 ,  4.412 ,  0.046 ,  20.962
1pey , A , 1 , 119 ,  10.922 ,  0.064 ,  14.083
1of9 , A , 1 , 77 ,  16.260 ,  0.061 ,  11.787
1tdp , A , 1 , 111 ,  15.241 ,  0.058 ,  13.363
1ll7 , A , 2 , 392 ,  5.906 ,  0.050 ,  23.107
1gxr , A , 1 , 335 ,  9.720 ,  0.057 ,  19.354
1yh5 , A , 1 , 108 ,  13.095 ,  0.039 ,  15.806
1gg3 , A , 3 , 279 ,  5.299 ,  0.038 ,  21.624
2gov , A , 1 , 184 ,  11.367 ,  0.048 ,  16.554
1hxr , A , 1 , 107 ,  15.642 ,  0.064 ,  13.387
2hlj , A , 1 , 152 ,  11.313 ,  0.044 ,  16.881
1weq , A , 1 , 85 ,  4.622 ,  0.027 ,  16.203
1oi0 , A , 1 , 108 ,  16.575 ,  0.061 ,  14.357
1g6s , A , 2 , 427 ,  2.871 ,  0.051 ,  22.347
1ek6 , A , 2 , 346 ,  6.687 ,  0.055 ,  19.709
1sny , A , 1 , 241 ,  11.060 ,  0.056 ,  17.883
1iry , A , 1 , 156 ,  11.786 ,  0.054 ,  216.000
1jb0 , E , 1 , 69 ,  10.455 ,  0.045 ,  18.996
1apj , A , 1 , 74 ,  15.041 ,  0.065 ,  39.649
1xn7 , A , 1 , 78 ,  5.976 ,  0.027 ,  16.696
2o6i , A , 2 , 442 ,  4.937 ,  0.037 ,  24.734
2bo1 , A , 1 , 101 ,  20.461 ,  0.065 ,  12.890
2ogk , A , 1 , 133 ,  7.431 ,  0.050 ,  18.656
1xo5 , A , 1 , 174 ,  4.793 ,  0.039 ,  17.916
1hbk , A , 1 , 89 ,  12.969 ,  0.044 ,  14.175
1rh6 , A , 1 , 55 ,  15.758 ,  0.055 ,  12.135
1vtx , A , 1 , 42 ,  26.446 ,  0.057 ,  15.468
1qi9 , A , 1 , 555 ,  5.860 ,  0.046 ,  26.713
1kv9 , A , 2 , 664 ,  9.477 ,  0.057 ,  23.992
1j77 , A , 1 , 199 ,  8.659 ,  0.052 ,  16.715
1jhg , A , 1 , 101 ,  3.652 ,  0.026 ,  18.318
1j9j , A , 1 , 247 ,  8.602 ,  0.046 ,  20.060
1b8a , A , 2 , 438 ,  2.166 ,  0.028 ,  27.309
2pju , A , 2 , 187 ,  1.503 ,  0.041 ,  20.016
1dmt , A , 2 , 696 ,  4.721 ,  0.043 ,  26.914
